Geno_020109 Pheno020109
Geno_030416 Pheno030416
Geno_030424 Pheno030424
Geno_040102 Pheno040102
Geno_040110 Pheno040110
Geno_040113 Pheno040113
Geno_040117 Pheno040117
Geno_040123 Pheno040123
Geno_040139 Pheno040139
Geno_040141 Pheno040141
Geno_040143 Pheno040143
Geno_040145 Pheno040145
Geno_080102 Pheno080102
Geno_090105 Pheno090105
Geno_090106 Pheno090106
Geno_090114 Pheno090114
Geno_140105 Pheno140105
Geno_140910 Pheno140910
Geno_141301 Pheno141301
Geno_141302 Pheno141302
Geno_141305 Pheno141305
Geno_141508 Pheno141508
Geno_141803 Pheno141803
Geno_150102 Pheno150102
Geno_150104 Pheno150104
Geno_150106 Pheno150106
Geno_170719 Pheno170719
Geno_170722 Pheno170722
Geno_170727 Pheno170727
Geno_170804 Pheno170804
Geno_170907 Pheno170907
Geno_171012 Pheno171012
Geno_171112 Pheno171112
Geno_171113 Pheno171113
Geno_171115 Pheno171115
Geno_171303 Pheno171303
Geno_171310 Pheno171310
Geno_180108 Pheno180108
Geno_200302 Pheno200302
Geno_200304 Pheno200304
Geno_210103 Pheno210103
Geno_211121 Pheno211121
Geno_211125 Pheno211125
Geno_211133 Pheno211133
Geno_220101 Pheno220101
Geno_220112 Pheno220112
Geno_220116 Pheno220116
Geno_220402 Pheno220402
Geno_220410 Pheno220410
Geno_220411 Pheno220411
Geno_240104 Pheno240104
Geno_280111 Pheno280111
